BUGID,ROLD-DATE,RFIX-DATE,FIXER,INDUCERS
20213,2005-07-01 08:56:12,2009-02-24 09:22:09,Michel Dänzer,Zack Rusin;Keith Packard;Daniel Stone;Dave Airlie;Eric Anholt;Michel Dänzer;
94246,2014-10-13 11:40:06,2016-02-23 17:19:03,Michel Dänzer,Keith Packard;
23608,2008-02-15 13:36:34,2009-09-02 10:53:40,Peter Hutterer,Benjamin Close;
2792,2003-11-14 15:54:54,2005-03-23 19:58:45,Roland Mainz,Egbert Eich;Roland Mainz;Kaleb Keithley;
58398,2008-08-20 13:24:03,2012-12-18 14:12:40,Peter Hutterer,Adam Jackson;
2791,2003-11-14 15:54:54,2005-03-23 20:49:52,Roland Mainz,Kevin E Martin;Egbert Eich;Kaleb Keithley;
55564,2011-09-29 11:49:26,2012-12-03 13:25:19,Chris Wilson,Dave Airlie;
2789,2003-11-14 15:54:54,2005-03-23 00:32:49,Roland Mainz,Kaleb Keithley;
1695,2003-11-14 16:48:57,2004-12-13 03:42:32,Roland Mainz,Kaleb Keithley;
23286,2003-11-14 16:48:57,2009-09-23 10:53:51,Peter Hutterer,Eric Anholt;Kaleb Keithley;
51400,2012-06-20 13:53:53,2012-06-28 12:07:11,Christopher James Halse Rogers,Christopher James Halse Rogers;
5138,2003-11-25 19:29:01,2006-03-03 09:43:42,Alan Hourihane,Alexander Gottwald;Kaleb Keithley;
17728,2006-07-19 16:51:04,2008-10-09 16:50:54,Peter Hutterer,Daniel Stone;
5019,2005-09-24 02:40:51,2005-11-13 20:53:24,Alan Coopersmith,Kevin E Martin;Alan Coopersmith;Kristian Høgsberg;
18388,2008-05-21 10:17:53,2008-11-07 18:36:00,Julien Cristau,Kristian Høgsberg;
45623,2009-05-22 12:01:55,2012-07-06 12:06:13,Torsten Kaiser,Keith Packard;Adam Jackson;
91763,2015-07-07 18:19:50,2015-08-31 08:18:59,Olivier Fourdan,Olivier Fourdan;
43320,2009-04-15 17:21:08,2011-11-28 20:38:58,Alan Coopersmith,Peter Hutterer;Alan Coopersmith;
19233,2008-04-28 21:00:54,2009-01-13 13:05:32,Michel Dänzer,Owen Taylor;
93261,2003-11-14 15:54:54,2016-03-28 18:11:09,Adam Jackson,Kaleb Keithley;
23298,2003-11-14 15:54:54,2009-09-29 08:56:59,Michel Dänzer,Adam Jackson;Peter Hutterer;Eamon Walsh;Kaleb Keithley;
27654,2010-02-10 17:56:30,2010-04-15 10:55:53,Jeremy Huddleston,Jeremy Huddleston;
2560,2003-11-14 15:54:54,2005-03-07 23:02:59,Roland Mainz,Egbert Eich;Stuart Kreitman;Eric Anholt;Kaleb Keithley;
94596,2016-02-24 16:52:58,2016-03-24 17:42:47,Michel Dänzer,Michel Dänzer;
22642,2007-11-05 14:36:36,2009-07-10 20:06:02,Michel Dänzer,Daniel Stone;Michel Dänzer;
97065,2013-07-11 16:11:57,2016-08-08 17:25:35,Olivier Fourdan,Keith Packard;
36119,2003-11-14 15:54:54,2011-04-12 10:17:07,Peter Hutterer,Simon Thum;Peter Hutterer;Kaleb Keithley;
98030,2003-11-14 15:54:54,2016-10-28 08:04:43,Keith Packard,Kaleb Keithley;
53037,2011-10-03 11:42:08,2012-08-08 11:34:32,Peter Hutterer,Peter Hutterer;
24144,2005-06-09 16:22:27,2009-09-28 14:18:45,Peter Hutterer,Matthew Allum;
3763,2003-11-14 16:49:22,2005-07-12 18:16:03,Alan Coopersmith,Kaleb Keithley;
59937,2012-03-21 12:55:09,2013-01-29 10:24:32,Alan Coopersmith,Keith Packard;
59939,2011-12-20 16:32:52,2013-01-29 11:01:29,Peter Hutterer,Peter Hutterer;
32436,2010-11-27 22:36:44,2010-12-16 22:29:37,Alan Coopersmith,Alan Coopersmith;
17734,1999-11-19 13:54:06,2008-10-09 17:26:00,Peter Hutterer,Peter Hutterer;Dirk Hohndel;Daniel Stone;
16647,2007-08-24 19:24:18,2009-02-15 17:44:51,Michel Dänzer,Michel Dänzer;
92766,2008-11-25 14:12:02,2016-06-09 19:45:15,Eric Biggers,Simon Thum;
21760,2006-09-17 23:03:23,2011-04-13 11:51:30,Jeremy Huddleston,Keith Packard;Mikhail Gusarov;
16179,2006-07-19 16:51:04,2008-06-02 11:04:41,Peter Hutterer,Daniel Stone;
18111,2007-04-24 21:34:47,2008-10-23 22:07:37,Peter Hutterer,Peter Hutterer;
1361,2003-11-14 15:54:54,2004-12-08 05:48:16,Roland Mainz,Roland Mainz;Kaleb Keithley;
58174,2012-07-05 15:50:56,2013-01-09 12:58:28,Dave Airlie,Dave Airlie;
64738,2012-06-11 01:52:14,2014-04-23 18:54:41,Anthony Waters,Zhigang Gong;
54013,2003-11-14 15:54:54,2013-07-15 19:44:29,Peter Harris,Kaleb Keithley;
36108,2007-02-15 20:36:20,2012-07-11 16:27:46,Maarten Lankhorst,Keith Packard;
56557,2011-12-14 16:24:17,2012-11-27 11:21:17,Peter Hutterer,Keith Packard;Peter Hutterer;Chase Douglas;
30367,2010-04-24 23:56:36,2010-09-29 22:51:48,Tobias Droste,Jamey Sharp;
1114,2003-11-14 15:54:54,2005-01-14 08:37:30,Roland Mainz,Kaleb Keithley;
85313,2008-05-14 14:49:09,2014-10-22 12:55:28,Yogish Kulkarni,Tiago Vignatti;
54934,2007-05-14 10:42:03,2012-09-28 11:49:29,Peter Hutterer,Peter Hutterer;
15645,2003-11-14 16:49:22,2008-04-23 11:38:08,Peter Hutterer,Magnus Vigerlöf;Adam Jackson;Peter Hutterer;Matthieu Herrb;Alan Coopersmith;Kaleb Keithley;
13467,2005-10-12 11:15:44,2007-12-03 16:57:58,James Cloos,Eric Anholt;
13101,2003-11-14 16:48:57,2008-01-29 09:47:00,Coleman Kane,Kaleb Keithley;
9758,2008-03-03 15:43:22,2009-09-28 13:59:25,Peter Hutterer,Adam Jackson;
98854,2013-07-11 16:11:57,2016-11-25 17:34:05,Michel Dänzer,Keith Packard;
97765,2003-11-14 16:49:22,2016-09-11 03:07:44,Jeremy Huddleston Sequoia,Kaleb Keithley;
12385,2007-05-22 10:51:53,2008-11-03 10:00:54,Michel Dänzer,Michel Dänzer;
75513,2007-08-01 01:10:50,2014-02-26 07:54:56,Peter Hutterer,Dan Nicholson;Keith Packard;Peter Hutterer;Daniel Stone;
44079,2008-12-19 21:05:47,2012-01-05 07:02:51,Peter Hutterer,Peter Hutterer;
23034,2004-07-29 14:33:43,2009-07-31 14:38:35,Peter Hutterer,Stuart Kreitman;
26543,2008-11-03 17:47:36,2010-02-26 14:02:09,Peter Hutterer,Peter Hutterer;
99149,2014-06-16 11:34:55,2017-03-02 10:19:26,Olivier Fourdan,Kristian Høgsberg;
93045,2014-03-11 16:11:39,2015-11-23 08:51:48,Olivier Fourdan,Kristian Høgsberg;Jonas Ådahl;
92076,2014-03-11 16:11:39,2015-09-23 15:35:58,Olivier Fourdan,Kristian Høgsberg;
97880,2016-08-11 12:34:54,2016-10-15 17:59:05,Mihail Konev,Keith Packard;
23833,2003-11-14 16:48:57,2010-08-20 13:51:04,Chris Wilson,Kaleb Keithley;
11858,2004-05-16 00:03:54,2007-08-06 12:37:52,Roland "Test-tools" Bär,Alan Coopersmith;
27510,2009-12-05 03:18:31,2010-04-14 19:28:37,Michel Dänzer,Maarten Maathuis;
2454,2004-07-29 14:42:24,2013-08-21 11:13:11,Adam Jackson,Keith Packard;Stuart Kreitman;Mikhail Gusarov;
2211,2004-04-23 19:54:30,2005-01-04 00:16:20,Alan Coopersmith,Egbert Eich;
48311,2005-12-28 15:22:21,2012-04-06 21:51:37,Alan Coopersmith,Luc Verhaegen;
3664,2005-06-25 21:28:48,2009-08-05 10:40:20,Peter Hutterer,Adam Jackson;
825,2003-11-14 16:49:22,2005-02-02 00:55:21,Roland Mainz,Eric Anholt;Kaleb Keithley;
80890,2012-04-06 08:28:40,2014-07-07 08:27:44,Peter Hutterer,Chase Douglas;
16867,2008-07-21 18:16:38,2008-07-28 09:33:04,Michel Dänzer,Kristian Høgsberg;
66134,2008-11-19 16:01:21,2013-07-15 13:06:28,Peter Hutterer,Simon Thum;
68554,2012-01-27 12:41:09,2013-08-26 15:51:46,Peter Hutterer,Peter Hutterer;
21861,2006-09-19 22:48:54,2009-05-22 09:54:38,Julien Cristau,Keith Packard;
3680,2003-11-14 16:48:57,2005-07-05 15:43:20,Alexander Gottwald,Alexander Gottwald;Kaleb Keithley;
73227,2005-08-22 12:05:18,2013-01-29 16:36:48,Ted Felix,Alan Hourihane;
18451,2004-06-01 21:09:25,2010-08-10 19:30:20,Chris Wilson,Michael Lorenz;Eamon Walsh;
65964,2012-04-25 11:59:47,2013-09-17 13:25:02,Michel Dänzer,Zhigang Gong;
24576,2004-06-30 20:06:56,2009-10-19 15:43:59,Lee Leahu,Kevin E Martin;
56578,2011-12-20 16:32:52,2013-04-09 11:19:07,Maarten Lankhorst,Keith Packard;Peter Hutterer;
14418,2003-11-14 15:54:54,2008-02-22 11:01:51,Peter Hutterer,Magnus Vigerlöf;Adam Jackson;Kaleb Keithley;
57301,2009-09-02 11:16:15,2012-11-20 11:48:31,Peter Hutterer,Keith Packard;Peter Hutterer;
3677,2003-11-14 16:48:57,2005-07-05 17:52:35,Alexander Gottwald,Alexander Gottwald;Kaleb Keithley;
7916,2003-11-14 16:48:57,2006-09-07 15:35:16,Kristian Høgsberg,Kristian Høgsberg;Kaleb Keithley;
2901,2004-04-23 19:54:30,2005-08-18 01:40:33,Alan Coopersmith,Egbert Eich;Stuart Kreitman;Roland Mainz;
8583,2006-10-14 22:14:07,2008-07-10 22:33:39,Simon Thum,Magnus Vigerlöf;Peter Hutterer;Daniel Stone;
97300,2014-10-10 09:25:51,2016-08-18 09:40:34,Michel Dänzer,Keith Packard;
23257,2006-12-18 15:33:54,2009-08-14 11:48:54,Peter Hutterer,Peter Hutterer;
2240,2004-07-30 12:03:56,2005-01-09 00:38:08,Roland Mainz,Roland Mainz;
24348,2003-11-14 16:48:57,2010-10-24 23:57:06,Luc Verhaegen,Kaleb Keithley;
81885,2014-02-26 16:20:08,2014-08-04 10:47:03,Peter Hutterer,Peter Hutterer;
3566,2003-11-14 16:48:57,2005-08-01 22:22:16,Alan Coopersmith,Kaleb Keithley;
86655,2011-12-14 15:41:07,2014-12-11 10:32:45,Peter Hutterer,Thomas Jaeger;Daniel Stone;
15513,2005-07-01 08:56:12,2008-04-21 10:45:11,Michel Dänzer,Zack Rusin;Fredrik Höglund;
31548,2010-10-22 13:57:27,2010-11-12 08:32:05,Peter Hutterer,Peter Hutterer;
15878,2004-08-12 07:57:03,2008-05-12 03:03:13,James Cloos,Eric Anholt;
7145,2006-09-19 22:48:54,2007-03-05 15:31:44,Jens Granseuer,Keith Packard;
41211,2009-07-16 09:01:17,2011-01-24 11:17:03,Chris Wilson,Jesse Barnes;
35452,2009-07-16 09:01:17,2011-12-18 18:29:40,Keith Packard,Jesse Barnes;
23100,2007-11-15 10:41:34,2009-08-10 09:50:16,Peter Hutterer,Peter Hutterer;
43635,2008-01-07 20:08:56,2012-01-09 15:04:10,Peter Hutterer,Peter Hutterer;
20756,2008-04-13 08:27:31,2009-03-19 21:35:25,Maarten Maathuis,Peter Hutterer;
1712,2003-11-14 16:48:57,2005-03-02 11:20:30,Roland Mainz,Kaleb Keithley;
2800,2003-11-14 15:54:54,2005-05-22 01:12:49,Alan Coopersmith,Stuart Kreitman;Kaleb Keithley;
49170,2003-11-14 16:48:57,2014-11-17 15:28:58,Adam Jackson,Kaleb Keithley;
57200,2011-08-24 16:54:32,2013-03-13 17:15:33,Michel Dänzer,Chris Wilson;Zhigang Gong;
26971,2009-12-21 15:56:35,2010-03-10 09:24:32,Peter Hutterer,Peter Hutterer;
27023,2003-11-14 15:54:54,2010-05-10 14:00:49,David James,Adam Jackson;Kaleb Keithley;
2245,2003-11-14 15:54:54,2005-02-01 18:14:01,Alexander Gottwald,Alexander Gottwald;Kaleb Keithley;
2123,2003-11-14 16:48:57,2004-12-22 08:28:16,Alan Coopersmith,Kaleb Keithley;
15964,2003-11-14 16:48:57,2008-05-27 21:01:26,Peter Hutterer,Kaleb Keithley;
11484,2003-11-14 15:54:54,2011-10-10 12:09:39,Jeremy Huddleston,Kaleb Keithley;
10034,2003-11-14 15:54:54,2007-02-22 12:26:04,Brice Goglin,Kaleb Keithley;
50019,2008-08-11 16:59:17,2012-07-12 13:16:37,Michel Dänzer,Kristian Høgsberg;
67484,2003-11-14 16:48:57,2013-10-02 15:47:54,Maarten Lankhorst,Keith Packard;Kaleb Keithley;
15845,2005-07-01 08:56:12,2008-05-24 20:01:21,Michel Dänzer,Zack Rusin;Tilman Sauerbeck;Daniel Stone;Eric Anholt;Michel Dänzer;
51904,2011-10-12 15:53:57,2013-01-29 15:43:57,Sybren van Elderen,Peter Hutterer;
28808,2010-04-14 10:54:29,2010-07-01 12:44:57,Peter Hutterer,Peter Hutterer;
22822,2005-09-11 19:08:10,2009-07-21 14:34:13,Michel Dänzer,Eric Anholt;Michel Dänzer;Maarten Maathuis;
71878,2013-02-25 11:21:07,2013-12-03 08:36:45,Peter Hutterer,Peter Hutterer;
59190,2007-03-05 22:07:01,2013-01-10 03:26:33,Chris Wilson,Keith Packard;
18204,2003-11-14 16:48:57,2008-11-30 02:59:34,Paulo Cesar Pereira de Andrade,Tiago Vignatti;Adam Jackson;Egbert Eich;Paulo Cesar Pereira de Andrade;Kaleb Keithley;
92313,2014-12-16 01:59:03,2016-02-04 14:06:43,Jan Burgmeier,Keith Packard;
20087,2008-10-09 11:29:11,2009-02-23 09:28:26,Adam Tkac,Peter Hutterer;
16145,2003-11-14 15:54:54,2008-05-30 15:20:35,Peter Hutterer,Peter Hutterer;Eamon Walsh;Kaleb Keithley;
66720,2003-11-14 15:54:54,2013-07-09 13:27:19,Peter Hutterer,Peter Hutterer;Kaleb Keithley;
24685,2009-07-06 12:06:47,2009-10-23 19:32:42,Jon TURNEY,Peter Hutterer;
33140,2006-07-19 16:51:04,2016-02-12 14:17:59,Laércio de Sousa,Tiago Vignatti;Peter Hutterer;Laércio de Sousa;Daniel Stone;
71190,2012-01-18 19:21:36,2014-04-23 18:54:43,Zhigang Gong,Axel Davy;Zhigang Gong;
52202,2014-03-05 16:41:14,2015-10-19 15:42:30,Julien Cristau,Peter Hutterer;Hans de Goede;
28365,2009-04-09 14:38:24,2013-06-17 15:51:19,Eric Anholt,Ian Romanick;
53897,2011-05-11 13:56:08,2012-08-22 10:34:07,Peter Hutterer,Peter Hutterer;
20081,2006-10-14 15:54:12,2009-02-13 09:56:22,Peter Hutterer,Daniel Stone;
35209,2007-05-28 21:44:59,2011-03-15 13:20:03,Peter Hutterer,Branden Robinson;Peter Hutterer;
15614,2007-12-05 19:37:48,2008-04-22 13:30:03,Egbert Eich,Daniel Stone;
89023,2013-06-04 14:39:33,2015-05-05 15:54:20,Peter Hutterer,Peter Hutterer;
93675,2003-11-14 16:48:57,2016-09-23 15:03:34,Kyle Guinn,Kaleb Keithley;
23329,2004-06-25 08:58:18,2009-08-18 21:13:40,Jesse Adkins,Alexander Gottwald;
66851,2012-08-27 15:22:44,2014-04-03 11:19:13,Laércio de Sousa,Dave Airlie;
33929,2009-08-01 19:19:19,2011-02-24 12:17:57,Michel Dänzer,Michel Dänzer;Maarten Maathuis;
71088,2012-06-27 12:53:40,2013-11-06 10:25:27,Maarten Lankhorst,Zhigang Gong;
23562,2006-12-15 15:50:46,2009-09-03 14:17:14,Peter Hutterer,Eamon Walsh;
21827,2008-12-07 02:22:19,2010-12-13 18:35:20,David Barksdale,Paulo Cesar Pereira de Andrade;
29669,2009-06-18 14:40:20,2010-08-23 13:20:09,Peter Hutterer,Peter Hutterer;
3001,2003-11-14 15:54:54,2005-04-13 00:05:37,Roland Mainz,Egbert Eich;Roland Mainz;Kaleb Keithley;
